N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+570,0.08471172,1,0.04235586,-37.85344339,3.420152e-05,16.391,16.302,16.302,0
2mer-0+653,-0.07947671,2,-0.07947671,-37.93292011,3.396965e-05,16.893,16.339,16.339,0
2mer-0+596,0.00350334,2,0.00350334,-37.92941677,3.38649e-05,17.093,16.356,16.356,0
2mer-0+607,0.00041078,2,0.00041078,-37.92900599,3.378563e-05,17.296,16.369,16.369,0
2mer-0+565,0.00893972,2,0.00893972,-37.92006627,3.341288e-05,16.972,16.43,16.43,0
2mer-0+675,0.01141892,2,0.01141892,-37.90864736,3.323586e-05,17.01,16.459,16.459,0
2mer-0+563,0.03162619,4,0.06325237,-37.84539499,3.320074e-05,17.116,16.465,16.465,0
2mer-0+568,0.03479925,2,0.03479925,-37.81059574,3.284825e-05,16.936,16.523,16.523,0
2mer-0+569,0.03796855,2,0.03796855,-37.77262718,3.283722e-05,16.925,16.525,16.525,0
2mer-0+571,-0.06585733,2,-0.06585733,-37.83848451,3.274168e-05,17.114,16.541,16.541,0
2mer-0+560,0.01402878,4,0.02805755,-37.81042696,3.265057e-05,17.457,16.557,16.557,0
2mer-0+559,-0.0163133,4,-0.03262659,-37.84305355,3.265057e-05,17.457,16.557,16.557,0
2mer-0+608,-0.05905108,4,-0.11810217,-37.96115572,3.257949e-05,17.248,16.569,16.569,0
2mer-0+611,-0.01404476,4,-0.02808952,-37.98924523,3.257949e-05,17.248,16.569,16.569,0
2mer-0+615,0.02479538,4,0.04959077,-37.93965447,3.229247e-05,17.815,16.618,16.618,0
2mer-0+614,-0.00189812,4,-0.00379623,-37.9434507,3.229247e-05,17.815,16.618,16.618,0
2mer-0+566,0.02902691,2,0.02902691,-37.9144238,3.228709e-05,17.181,16.618,16.618,0
2mer-0+582,0.00082674,4,0.00165348,-37.91277031,3.228175e-05,17.845,16.619,16.619,0
2mer-0+581,-0.0369463,4,-0.0738926,-37.98666292,3.228175e-05,17.845,16.619,16.619,0
2mer-0+688,0.06116633,2,0.06116633,-37.92549658,3.220373e-05,17.979,16.633,16.633,0
2mer-0+598,0.05035513,2,0.05035513,-37.87514145,3.215687e-05,16.668,16.641,16.641,0
